name,episodes,av_rating,members,rating,user_id
Full Metal Panic? Fumoffu,12,8.21,171086,8,61
Shuffle!,24,7.31,158772,8,37
Neon Genesis Evangelion,26,8.32,461946,9,35
Monster,74,8.72,247562,9,87
Mahou Shoujo Lyrical Nanoha,13,7.52,62582,9,39
Eyeshield 21,145,8.08,83648,10,87
Mobile Suit Gundam Wing,49,7.87,86001,8,66
Azumanga Daioh,26,8.06,170901,9,1
Neon Genesis Evangelion,26,8.32,461946,7,64
Yakitate!! Japan,69,8.05,50876,-1,94
Mai-HiME,26,7.59,76492,10,42
Trinity Blood,24,7.44,113791,4,42
Eyeshield 21,145,8.08,83648,6,51
Chobits,26,7.57,266846,7,55
Chrno Crusade,24,7.8,140865,9,47
Mobile Suit Gundam Seed,50,7.93,96973,6,50
Full Metal Panic! The Second Raid,13,8.06,155340,8,62
Basilisk: Kouga Ninpou Chou,24,7.68,98144,10,79
Berserk,25,8.4,226430,8,4
Naruto,220,7.81,683297,10,92
Chobits,26,7.57,266846,7,1
Neon Genesis Evangelion,26,8.32,461946,7,57
Full Metal Panic!,24,7.81,256325,9,62
Eyeshield 21,145,8.08,83648,-1,39
Kidou Tenshi Angelic Layer,26,7.32,39758,9,10
Eyeshield 21,145,8.08,83648,9,53
Neon Genesis Evangelion,26,8.32,461946,10,8
Rozen Maiden: Tr?umend,12,7.78,72645,8,81
Mobile Suit Gundam,43,7.89,51566,5,99
Mobile Suit Gundam Seed,50,7.93,96973,5,71
Neon Genesis Evangelion,26,8.32,461946,6,98
Black Cat,23,7.52,150512,8,50
Shuffle!,24,7.31,158772,-1,11
Monster,74,8.72,247562,-1,46
Trigun,26,8.32,283069,6,76
Mobile Suit Gundam Wing,49,7.87,86001,-1,95
Mobile Suit Gundam,43,7.89,51566,8,87
Mai-Otome,26,7.4,36924,-1,93
Monster,74,8.72,247562,10,62
Naruto,220,7.81,683297,8,65
Chobits,26,7.57,266846,7,16
Rozen Maiden,12,7.57,128688,7,16
Rozen Maiden: Tr?umend,12,7.78,72645,8,1
Aa! Megami-sama! (TV),24,7.45,96694,7,17
Mobile Suit Gundam Wing,49,7.87,86001,10,63
Sunabouzu,24,7.55,65516,8,12
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,8,45
Ai Yori Aoshi,24,7.24,66597,5,37
Full Metal Panic!,24,7.81,256325,-1,34
Mobile Suit Gundam Seed Destiny,50,7.36,65896,10,68
Beck,26,8.4,148328,7,72
Sunabouzu,24,7.55,65516,9,4
Basilisk: Kouga Ninpou Chou,24,7.68,98144,7,16
Berserk,25,8.4,226430,-1,94
Full Metal Panic? Fumoffu,12,8.21,171086,9,25
Chobits,26,7.57,266846,6,3
Neon Genesis Evangelion,26,8.32,461946,9,4
Trigun,26,8.32,283069,8,22
Initial D Fourth Stage,24,8.24,41584,-1,80
Shuffle!,24,7.31,158772,9,39
Full Metal Panic!,24,7.81,256325,7,70
School Rumble,26,8.06,178553,5,98
Naruto,220,7.81,683297,8,5
Sunabouzu,24,7.55,65516,5,100
Beck,26,8.4,148328,-1,79
Neon Genesis Evangelion,26,8.32,461946,9,82
Rozen Maiden,12,7.57,128688,-1,18
Neon Genesis Evangelion,26,8.32,461946,10,77
Full Metal Panic!,24,7.81,256325,8,75
Naruto,220,7.81,683297,-1,31
Monster,74,8.72,247562,10,37
Mai-HiME,26,7.59,76492,8,83
School Rumble,26,8.06,178553,8,57
After War Gundam X,39,7.39,19132,7,55
Cowboy Bebop,26,8.82,486824,9,28
Mai-HiME,26,7.59,76492,8,100
Aa! Megami-sama! (TV),24,7.45,96694,10,94
DearS,12,6.8,91037,4,56
Naruto,220,7.81,683297,10,2
Mobile Fighter G Gundam,49,7.62,36338,7,70
Neon Genesis Evangelion,26,8.32,461946,-1,50
Neon Genesis Evangelion,26,8.32,461946,8,94
Azumanga Daioh,26,8.06,170901,8,46
Chrno Crusade,24,7.8,140865,-1,19
Full Metal Panic? Fumoffu,12,8.21,171086,9,31
Berserk,25,8.4,226430,7,58
Neon Genesis Evangelion,26,8.32,461946,7,96
After War Gundam X,39,7.39,19132,6,11
Naruto,220,7.81,683297,7,87
Neon Genesis Evangelion,26,8.32,461946,7,23
Mobile Suit Zeta Gundam,50,8.03,28959,9,36
Rozen Maiden: Tr?umend,12,7.78,72645,6,90
Cowboy Bebop,26,8.82,486824,9,25
Hachimitsu to Clover,24,8.18,130646,-1,3
Chobits,26,7.57,266846,10,66
Gakuen Alice,26,7.8,52995,7,50
Chrno Crusade,24,7.8,140865,8,88
Naruto,220,7.81,683297,7,63
Azumanga Daioh,26,8.06,170901,7,13
Full Metal Panic!,24,7.81,256325,9,59
Cowboy Bebop,26,8.82,486824,8,95
Cowboy Bebop,26,8.82,486824,-1,46
Trinity Blood,24,7.44,113791,10,9
Rozen Maiden,12,7.57,128688,-1,83
Trigun,26,8.32,283069,8,90
Neon Genesis Evangelion,26,8.32,461946,10,65
Cowboy Bebop,26,8.82,486824,9,99
Chobits,26,7.57,266846,6,69
Shuffle!,24,7.31,158772,-1,30
School Rumble,26,8.06,178553,10,13
Chrno Crusade,24,7.8,140865,8,41
Aa! Megami-sama! (TV),24,7.45,96694,7,63
Naruto,220,7.81,683297,7,18
Azumanga Daioh,26,8.06,170901,7,73
Naruto,220,7.81,683297,8,49
Cowboy Bebop,26,8.82,486824,10,6
Full Metal Panic!,24,7.81,256325,6,69
Neon Genesis Evangelion,26,8.32,461946,10,45
Beet the Vandel Buster,52,7.06,9848,6,42
Berserk,25,8.4,226430,7,50
Aa! Megami-sama! (TV),24,7.45,96694,9,87
Berserk,25,8.4,226430,8,16
Cowboy Bebop,26,8.82,486824,-1,8
Cowboy Bebop,26,8.82,486824,9,92
Chobits,26,7.57,266846,7,17
Cowboy Bebop,26,8.82,486824,8,45
Neon Genesis Evangelion,26,8.32,461946,4,7
Shuffle!,24,7.31,158772,7,84
Beck,26,8.4,148328,8,70
Yakitate!! Japan,69,8.05,50876,9,3
D.N.Angel,26,7.35,126914,7,66
Trinity Blood,24,7.44,113791,7,2
Naruto,220,7.81,683297,10,92
Full Metal Panic? Fumoffu,12,8.21,171086,8,47
Naruto,220,7.81,683297,5,25
D.C.: Da Capo,26,6.93,49909,8,52
Texhnolyze,22,7.78,95859,-1,15
Neon Genesis Evangelion,26,8.32,461946,10,11
Black Cat,23,7.52,150512,-1,87
Shuffle!,24,7.31,158772,-1,37
Chobits,26,7.57,266846,7,96
DearS,12,6.8,91037,9,86
Neon Genesis Evangelion,26,8.32,461946,9,71
Full Metal Panic!,24,7.81,256325,8,32
Chobits,26,7.57,266846,8,90
Rozen Maiden,12,7.57,128688,10,56
Neon Genesis Evangelion,26,8.32,461946,-1,54
Full Metal Panic! The Second Raid,13,8.06,155340,8,8
D.N.Angel,26,7.35,126914,8,35
Chobits,26,7.57,266846,9,78
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,10,78
Full Metal Panic? Fumoffu,12,8.21,171086,6,43
Chrno Crusade,24,7.8,140865,8,28
Mobile Suit Gundam,43,7.89,51566,-1,6
Sunabouzu,24,7.55,65516,8,52
Full Metal Panic? Fumoffu,12,8.21,171086,8,83
Full Metal Panic! The Second Raid,13,8.06,155340,9,38
Prince of Tennis,178,8.04,87643,9,82
Cowboy Bebop,26,8.82,486824,10,84
Rozen Maiden: Tr?umend,12,7.78,72645,10,62
Full Metal Panic! The Second Raid,13,8.06,155340,9,95
DearS,12,6.8,91037,8,92
Full Metal Panic? Fumoffu,12,8.21,171086,-1,90
Rozen Maiden,12,7.57,128688,9,18
Trigun,26,8.32,283069,9,33
Naruto,220,7.81,683297,-1,80
Full Metal Panic? Fumoffu,12,8.21,171086,6,41
Monster,74,8.72,247562,9,59
Full Metal Panic? Fumoffu,12,8.21,171086,9,19
Mobile Suit Gundam,43,7.89,51566,8,37
DearS,12,6.8,91037,5,57
Naruto,220,7.81,683297,8,92
Chobits,26,7.57,266846,-1,88
Kidou Tenshi Angelic Layer,26,7.32,39758,8,75
Beck,26,8.4,148328,10,40
Mobile Suit Gundam Wing,49,7.87,86001,8,70
Mai-HiME,26,7.59,76492,9,95
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,9,1
Mobile Suit Gundam ZZ,47,6.81,17517,7,90
Full Metal Panic!,24,7.81,256325,8,54
Chobits,26,7.57,266846,-1,79
D.N.Angel,26,7.35,126914,7,93
Chrno Crusade,24,7.8,140865,10,90
Black Cat,23,7.52,150512,6,59
Last Exile,26,7.94,104193,6,16
Full Metal Panic? Fumoffu,12,8.21,171086,9,65
D.C.: Da Capo,26,6.93,49909,-1,94
Mai-Otome,26,7.4,36924,9,15
Chrno Crusade,24,7.8,140865,10,31
DearS,12,6.8,91037,7,17
Cowboy Bebop,26,8.82,486824,9,4
Berserk,25,8.4,226430,-1,73
Initial D Fourth Stage,24,8.24,41584,9,35
D.C.: Da Capo,26,6.93,49909,7,43
Naruto,220,7.81,683297,5,19
Chrno Crusade,24,7.8,140865,5,31
Chrno Crusade,24,7.8,140865,-1,67
Neon Genesis Evangelion,26,8.32,461946,9,69
Eyeshield 21,145,8.08,83648,7,45
Shuffle!,24,7.31,158772,-1,93
Beck,26,8.4,148328,9,9
Chobits,26,7.57,266846,-1,5
Neon Genesis Evangelion,26,8.32,461946,8,100
Neon Genesis Evangelion,26,8.32,461946,9,59
Full Metal Panic! The Second Raid,13,8.06,155340,9,56
Cowboy Bebop,26,8.82,486824,10,96
Full Metal Panic! The Second Raid,13,8.06,155340,-1,8
Black Cat,23,7.52,150512,6,29
Black Cat,23,7.52,150512,7,49
School Rumble,26,8.06,178553,8,42
Ai Yori Aoshi,24,7.24,66597,7,70
Cowboy Bebop,26,8.82,486824,9,82
Mobile Suit Gundam Seed,50,7.93,96973,5,84
Full Metal Panic? Fumoffu,12,8.21,171086,9,12
Chobits,26,7.57,266846,6,41
Naruto,220,7.81,683297,9,60
Monster,74,8.72,247562,10,48
Neon Genesis Evangelion,26,8.32,461946,9,20
Full Metal Panic? Fumoffu,12,8.21,171086,7,30
Berserk,25,8.4,226430,6,95
Chobits,26,7.57,266846,8,39
Cowboy Bebop,26,8.82,486824,10,6
Naruto,220,7.81,683297,8,82
Naruto,220,7.81,683297,8,41
Azumanga Daioh,26,8.06,170901,9,51
Hachimitsu to Clover,24,8.18,130646,8,86
Black Cat,23,7.52,150512,8,76
Blue Gender,26,7.13,40581,8,71
Berserk,25,8.4,226430,8,46
Prince of Tennis,178,8.04,87643,8,61
Mobile Suit Gundam Wing,49,7.87,86001,8,25
Full Metal Panic! The Second Raid,13,8.06,155340,8,84
Cowboy Bebop,26,8.82,486824,10,74
Naruto,220,7.81,683297,7,43
D.N.Angel,26,7.35,126914,-1,49
Chobits,26,7.57,266846,10,35
Chobits,26,7.57,266846,-1,25
Aa! Megami-sama! (TV),24,7.45,96694,9,96
Full Metal Panic? Fumoffu,12,8.21,171086,8,1
School Rumble,26,8.06,178553,8,89
Black Cat,23,7.52,150512,-1,47
Azumanga Daioh,26,8.06,170901,7,33
Initial D Fourth Stage,24,8.24,41584,10,80
Gakuen Alice,26,7.8,52995,7,71
Neon Genesis Evangelion,26,8.32,461946,10,45
Full Metal Panic!,24,7.81,256325,10,38
Shuffle!,24,7.31,158772,7,4
Yakitate!! Japan,69,8.05,50876,9,64
Sunabouzu,24,7.55,65516,8,77
Mobile Suit Gundam Wing,49,7.87,86001,8,59
Texhnolyze,22,7.78,95859,6,31
Black Cat,23,7.52,150512,9,87
Full Metal Panic!,24,7.81,256325,10,75
School Rumble,26,8.06,178553,-1,29
Last Exile,26,7.94,104193,9,57
Chrno Crusade,24,7.8,140865,10,33
Rozen Maiden: Tr?umend,12,7.78,72645,8,47
Gakuen Alice,26,7.8,52995,8,48
Full Metal Panic? Fumoffu,12,8.21,171086,7,13
Rozen Maiden: Tr?umend,12,7.78,72645,-1,59
Gakuen Alice,26,7.8,52995,9,25
Cowboy Bebop,26,8.82,486824,10,25
Naruto,220,7.81,683297,7,79
D.N.Angel,26,7.35,126914,8,78
Full Metal Panic! The Second Raid,13,8.06,155340,10,90
Blue Gender,26,7.13,40581,9,70
Basilisk: Kouga Ninpou Chou,24,7.68,98144,7,79
Neon Genesis Evangelion,26,8.32,461946,-1,91
Neon Genesis Evangelion,26,8.32,461946,7,43
Rozen Maiden: Tr?umend,12,7.78,72645,7,47
Basilisk: Kouga Ninpou Chou,24,7.68,98144,10,58
Full Metal Panic? Fumoffu,12,8.21,171086,9,20
D.N.Angel,26,7.35,126914,8,19
Monster,74,8.72,247562,8,63
Cowboy Bebop,26,8.82,486824,10,91
Hachimitsu to Clover,24,8.18,130646,8,99
Black Cat,23,7.52,150512,-1,70
D.N.Angel,26,7.35,126914,5,73
Mai-HiME,26,7.59,76492,-1,85
Cowboy Bebop,26,8.82,486824,8,34
Chrno Crusade,24,7.8,140865,9,84
Cowboy Bebop,26,8.82,486824,10,34
D.N.Angel,26,7.35,126914,6,36
Neon Genesis Evangelion,26,8.32,461946,5,71
Cowboy Bebop,26,8.82,486824,7,93
Mahou Shoujo Lyrical Nanoha,13,7.52,62582,8,25
Neon Genesis Evangelion,26,8.32,461946,8,23
Texhnolyze,22,7.78,95859,9,70
Naruto,220,7.81,683297,7,65
Neon Genesis Evangelion,26,8.32,461946,9,86
Naruto,220,7.81,683297,6,65
Berserk,25,8.4,226430,9,61
Trigun,26,8.32,283069,-1,12
Kidou Tenshi Angelic Layer,26,7.32,39758,9,95
Hachimitsu to Clover,24,8.18,130646,6,95
Trigun,26,8.32,283069,10,67
Cowboy Bebop,26,8.82,486824,9,94
Full Metal Panic! The Second Raid,13,8.06,155340,8,73
Neon Genesis Evangelion,26,8.32,461946,9,24
Full Metal Panic!,24,7.81,256325,-1,51
Full Metal Panic! The Second Raid,13,8.06,155340,9,61
Last Exile,26,7.94,104193,8,56
Full Metal Panic! The Second Raid,13,8.06,155340,8,80
Cowboy Bebop,26,8.82,486824,10,67
Naruto,220,7.81,683297,7,85
Cowboy Bebop,26,8.82,486824,7,73
Beck,26,8.4,148328,10,25
Shuffle!,24,7.31,158772,7,39
Sunabouzu,24,7.55,65516,9,30
Chrno Crusade,24,7.8,140865,10,17
DearS,12,6.8,91037,4,37
Neon Genesis Evangelion,26,8.32,461946,-1,9
Turn A Gundam,50,7.76,20056,10,56
Mobile Fighter G Gundam,49,7.62,36338,7,89
Mobile Fighter G Gundam,49,7.62,36338,7,8
Gakuen Alice,26,7.8,52995,-1,26
Trigun,26,8.32,283069,-1,39
Neon Genesis Evangelion,26,8.32,461946,10,37
School Rumble,26,8.06,178553,8,79
Naruto,220,7.81,683297,10,38
Blue Gender,26,7.13,40581,8,34
Ai Yori Aoshi,24,7.24,66597,8,29
Beck,26,8.4,148328,8,31
School Rumble,26,8.06,178553,8,16
Witch Hunter Robin,26,7.36,64905,7,5
Sunabouzu,24,7.55,65516,8,61
School Rumble,26,8.06,178553,-1,95
Hachimitsu to Clover,24,8.18,130646,10,73
D.C.: Da Capo,26,6.93,49909,8,5
Shuffle!,24,7.31,158772,9,4
Trigun,26,8.32,283069,-1,94
Naruto,220,7.81,683297,8,87
Mobile Suit Gundam Seed,50,7.93,96973,-1,97
Chobits,26,7.57,266846,10,11
Full Metal Panic? Fumoffu,12,8.21,171086,10,21
Basilisk: Kouga Ninpou Chou,24,7.68,98144,7,63
Black Cat,23,7.52,150512,8,79
Cowboy Bebop,26,8.82,486824,10,59
Witch Hunter Robin,26,7.36,64905,-1,23
DearS,12,6.8,91037,-1,46
Gakuen Alice,26,7.8,52995,9,80
Berserk,25,8.4,226430,10,34
Neon Genesis Evangelion,26,8.32,461946,9,87
Cowboy Bebop,26,8.82,486824,-1,73
Chobits,26,7.57,266846,7,67
Cowboy Bebop,26,8.82,486824,10,47
Neon Genesis Evangelion,26,8.32,461946,10,31
Mobile Suit Gundam,43,7.89,51566,8,36
Beck,26,8.4,148328,8,9
Eyeshield 21,145,8.08,83648,8,42
Rozen Maiden: Tr?umend,12,7.78,72645,10,12
Berserk,25,8.4,226430,9,44
Mobile Suit Zeta Gundam,50,8.03,28959,8,16
Cowboy Bebop,26,8.82,486824,9,37
Azumanga Daioh,26,8.06,170901,10,30
Black Cat,23,7.52,150512,8,57
Mobile Suit Gundam Seed,50,7.93,96973,6,4
DearS,12,6.8,91037,7,84
Chobits,26,7.57,266846,8,36
Black Cat,23,7.52,150512,-1,59
Beck,26,8.4,148328,9,48
School Rumble,26,8.06,178553,7,91
Beck,26,8.4,148328,9,9
Trinity Blood,24,7.44,113791,7,3
Full Metal Panic! The Second Raid,13,8.06,155340,8,72
Beck,26,8.4,148328,10,84
Trinity Blood,24,7.44,113791,8,5
Trigun,26,8.32,283069,10,89
Chobits,26,7.57,266846,8,24
Full Metal Panic!,24,7.81,256325,10,50
Rozen Maiden,12,7.57,128688,7,81
Aa! Megami-sama! (TV),24,7.45,96694,8,92
Cowboy Bebop,26,8.82,486824,9,40
Trinity Blood,24,7.44,113791,9,28
Trigun,26,8.32,283069,8,33
Trinity Blood,24,7.44,113791,8,89
Black Cat,23,7.52,150512,8,38
Full Metal Panic!,24,7.81,256325,9,28
Monster,74,8.72,247562,9,38
Mahou Shoujo Lyrical Nanoha,13,7.52,62582,9,19
Hungry Heart: Wild Striker,52,7.74,13469,9,63
Beck,26,8.4,148328,8,52
D.C.: Da Capo,26,6.93,49909,7,16
Mobile Suit Gundam Seed,50,7.93,96973,8,62
Full Metal Panic! The Second Raid,13,8.06,155340,8,31
Ai Yori Aoshi,24,7.24,66597,9,30
Hachimitsu to Clover,24,8.18,130646,8,65
Eyeshield 21,145,8.08,83648,8,98
Full Metal Panic! The Second Raid,13,8.06,155340,9,32
Rozen Maiden: Tr?umend,12,7.78,72645,9,34
Aa! Megami-sama! (TV),24,7.45,96694,6,2
Ai Yori Aoshi,24,7.24,66597,3,24
Neon Genesis Evangelion,26,8.32,461946,9,32
Basilisk: Kouga Ninpou Chou,24,7.68,98144,-1,87
Mai-Otome,26,7.4,36924,5,34
Berserk,25,8.4,226430,-1,77
Naruto,220,7.81,683297,8,77
Trigun,26,8.32,283069,10,71
Mobile Suit Gundam Seed Destiny,50,7.36,65896,-1,74
Neon Genesis Evangelion,26,8.32,461946,10,28
Full Metal Panic! The Second Raid,13,8.06,155340,-1,43
Azumanga Daioh,26,8.06,170901,8,13
Trigun,26,8.32,283069,6,16
Kidou Tenshi Angelic Layer,26,7.32,39758,8,34
Cowboy Bebop,26,8.82,486824,7,4
Neon Genesis Evangelion,26,8.32,461946,9,56
D.C.: Da Capo,26,6.93,49909,7,62
Chobits,26,7.57,266846,-1,20
Shuffle!,24,7.31,158772,9,81
Neon Genesis Evangelion,26,8.32,461946,7,6
Chrno Crusade,24,7.8,140865,10,11
Blue Gender,26,7.13,40581,7,91
Trigun,26,8.32,283069,9,88
Trigun,26,8.32,283069,7,52
Full Metal Panic! The Second Raid,13,8.06,155340,9,67
Naruto,220,7.81,683297,-1,36
Yakitate!! Japan,69,8.05,50876,-1,62
Beck,26,8.4,148328,8,100
School Rumble,26,8.06,178553,8,80
Basilisk: Kouga Ninpou Chou,24,7.68,98144,8,81
Trigun,26,8.32,283069,-1,67
Chobits,26,7.57,266846,8,33
Neon Genesis Evangelion,26,8.32,461946,9,63
Aa! Megami-sama! (TV),24,7.45,96694,8,74
Mai-Otome,26,7.4,36924,7,63
Naruto,220,7.81,683297,8,89
Berserk,25,8.4,226430,-1,2
Last Exile,26,7.94,104193,8,95
Trigun,26,8.32,283069,10,98
Aa! Megami-sama! (TV),24,7.45,96694,8,79
Kidou Tenshi Angelic Layer,26,7.32,39758,-1,72
Full Metal Panic!,24,7.81,256325,8,73
Chobits,26,7.57,266846,10,19
Texhnolyze,22,7.78,95859,9,100
School Rumble,26,8.06,178553,-1,29
Full Metal Panic! The Second Raid,13,8.06,155340,8,34
Beck,26,8.4,148328,6,41
Full Metal Panic! The Second Raid,13,8.06,155340,9,85
Last Exile,26,7.94,104193,8,92
Aa! Megami-sama! (TV),24,7.45,96694,5,54
Naruto,220,7.81,683297,-1,61
Rozen Maiden,12,7.57,128688,-1,6
Naruto,220,7.81,683297,9,73
School Rumble,26,8.06,178553,10,45
Cowboy Bebop,26,8.82,486824,9,1
Full Metal Panic!,24,7.81,256325,4,13
Neon Genesis Evangelion,26,8.32,461946,8,4
Mobile Suit Zeta Gundam,50,8.03,28959,9,68
Mobile Suit Gundam Seed,50,7.93,96973,9,39
DearS,12,6.8,91037,7,84
Mai-HiME,26,7.59,76492,9,15
Full Metal Panic!,24,7.81,256325,8,38
Naruto,220,7.81,683297,-1,33
Hachimitsu to Clover,24,8.18,130646,6,65
Azumanga Daioh,26,8.06,170901,9,31
School Rumble,26,8.06,178553,8,31
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,-1,76
Aa! Megami-sama! (TV),24,7.45,96694,7,76
Naruto,220,7.81,683297,9,39
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,9,46
Full Metal Panic! The Second Raid,13,8.06,155340,8,35
Azumanga Daioh,26,8.06,170901,8,60
Naruto,220,7.81,683297,9,29
Trigun,26,8.32,283069,8,67
Aa! Megami-sama! (TV),24,7.45,96694,8,86
Basilisk: Kouga Ninpou Chou,24,7.68,98144,8,80
Rozen Maiden: Tr?umend,12,7.78,72645,-1,5
Naruto,220,7.81,683297,-1,46
DearS,12,6.8,91037,1,3
Basilisk: Kouga Ninpou Chou,24,7.68,98144,8,58
School Rumble,26,8.06,178553,8,48
Mobile Suit Zeta Gundam,50,8.03,28959,9,7
Ai Yori Aoshi,24,7.24,66597,-1,39
Trigun,26,8.32,283069,10,87
Azumanga Daioh,26,8.06,170901,10,68
Monster,74,8.72,247562,7,29
Mobile Suit Gundam Seed,50,7.93,96973,7,9
Avenger,13,6.02,12286,-1,44
Shuffle!,24,7.31,158772,-1,19
Mobile Suit Gundam Seed Destiny,50,7.36,65896,8,10
Cowboy Bebop,26,8.82,486824,10,1
Rozen Maiden: Tr?umend,12,7.78,72645,8,69
School Rumble,26,8.06,178553,8,14
Naruto,220,7.81,683297,7,31
Cowboy Bebop,26,8.82,486824,8,86
Shuffle!,24,7.31,158772,6,10
Ai Yori Aoshi,24,7.24,66597,6,45
Neon Genesis Evangelion,26,8.32,461946,8,48
DearS,12,6.8,91037,8,6
Neon Genesis Evangelion,26,8.32,461946,8,13
Aa! Megami-sama! (TV),24,7.45,96694,-1,25
Cowboy Bebop,26,8.82,486824,8,11
Mobile Suit Gundam Seed,50,7.93,96973,9,19
Naruto,220,7.81,683297,9,89
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,8,42
Monster,74,8.72,247562,9,46
Azumanga Daioh,26,8.06,170901,-1,44
Rozen Maiden,12,7.57,128688,10,60
School Rumble,26,8.06,178553,8,74
Naruto,220,7.81,683297,6,27
Azumanga Daioh,26,8.06,170901,8,50
Chobits,26,7.57,266846,8,94
D.C.: Da Capo,26,6.93,49909,3,33
Monster,74,8.72,247562,10,3
Trigun,26,8.32,283069,8,58
Neon Genesis Evangelion,26,8.32,461946,10,22
Shuffle!,24,7.31,158772,6,76
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,10,70
Initial D Fourth Stage,24,8.24,41584,9,45
Chrno Crusade,24,7.8,140865,8,75
Full Metal Panic? Fumoffu,12,8.21,171086,10,37
Mobile Suit Gundam,43,7.89,51566,8,32
DearS,12,6.8,91037,5,27
Full Metal Panic! The Second Raid,13,8.06,155340,8,29
Rozen Maiden: Tr?umend,12,7.78,72645,-1,58
Trigun,26,8.32,283069,10,68
Naruto,220,7.81,683297,7,87
Cowboy Bebop,26,8.82,486824,9,74
Naruto,220,7.81,683297,-1,58
Neon Genesis Evangelion,26,8.32,461946,4,44
Naruto,220,7.81,683297,8,10
Mobile Fighter G Gundam,49,7.62,36338,9,66
Naruto,220,7.81,683297,4,18
Chobits,26,7.57,266846,7,45
Chobits,26,7.57,266846,9,71
D.N.Angel,26,7.35,126914,7,23
Mahou Shoujo Lyrical Nanoha,13,7.52,62582,7,99
Neon Genesis Evangelion,26,8.32,461946,9,91
Neon Genesis Evangelion,26,8.32,461946,8,28
Chobits,26,7.57,266846,8,4
Kidou Tenshi Angelic Layer,26,7.32,39758,8,16
After War Gundam X,39,7.39,19132,7,14
Sunabouzu,24,7.55,65516,9,62
Monster,74,8.72,247562,10,71
Beet the Vandel Buster,52,7.06,9848,-1,80
Full Metal Panic!,24,7.81,256325,8,5
Monster,74,8.72,247562,8,48
Trinity Blood,24,7.44,113791,6,26
D.N.Angel,26,7.35,126914,8,30
Chobits,26,7.57,266846,6,57
Berserk,25,8.4,226430,10,74
School Rumble,26,8.06,178553,8,12
Trinity Blood,24,7.44,113791,8,11
Cowboy Bebop,26,8.82,486824,9,74
Mobile Fighter G Gundam,49,7.62,36338,9,45
Naruto,220,7.81,683297,9,25
Full Metal Panic? Fumoffu,12,8.21,171086,10,60
Last Exile,26,7.94,104193,-1,84
Last Exile,26,7.94,104193,9,92
Texhnolyze,22,7.78,95859,6,80
Shuffle!,24,7.31,158772,8,51
D.N.Angel,26,7.35,126914,3,31
School Rumble,26,8.06,178553,6,57
Chobits,26,7.57,266846,9,26
D.N.Angel,26,7.35,126914,5,61
Azumanga Daioh,26,8.06,170901,9,11
Neon Genesis Evangelion,26,8.32,461946,10,6
Hachimitsu to Clover,24,8.18,130646,7,68
Neon Genesis Evangelion,26,8.32,461946,-1,43
Cowboy Bebop,26,8.82,486824,10,5
Avenger,13,6.02,12286,6,19
Full Metal Panic? Fumoffu,12,8.21,171086,7,43
Rozen Maiden: Tr?umend,12,7.78,72645,7,43
Full Metal Panic? Fumoffu,12,8.21,171086,9,52
Black Cat,23,7.52,150512,6,8
Trigun,26,8.32,283069,8,82
Berserk,25,8.4,226430,6,16
Rozen Maiden: Tr?umend,12,7.78,72645,7,21
Rozen Maiden: Tr?umend,12,7.78,72645,-1,84
Last Exile,26,7.94,104193,6,83
Naruto,220,7.81,683297,7,11
Chrno Crusade,24,7.8,140865,7,55
Full Metal Panic! The Second Raid,13,8.06,155340,8,34
Full Metal Panic!,24,7.81,256325,8,51
Gakuen Alice,26,7.8,52995,5,87
D.N.Angel,26,7.35,126914,-1,40
School Rumble,26,8.06,178553,5,42
Mobile Suit Gundam,43,7.89,51566,8,92
Chobits,26,7.57,266846,-1,62
Naruto,220,7.81,683297,9,73
Witch Hunter Robin,26,7.36,64905,5,60
Black Cat,23,7.52,150512,7,23
School Rumble,26,8.06,178553,-1,67
Neon Genesis Evangelion,26,8.32,461946,10,100
Full Metal Panic? Fumoffu,12,8.21,171086,9,89
Kidou Tenshi Angelic Layer,26,7.32,39758,7,10
Basilisk: Kouga Ninpou Chou,24,7.68,98144,8,10
Cowboy Bebop,26,8.82,486824,10,64
Neon Genesis Evangelion,26,8.32,461946,10,65
Rozen Maiden: Tr?umend,12,7.78,72645,-1,16
D.C.: Da Capo,26,6.93,49909,7,82
Trigun,26,8.32,283069,7,78
Chobits,26,7.57,266846,8,58
Full Metal Panic! The Second Raid,13,8.06,155340,-1,76
D.N.Angel,26,7.35,126914,7,26
Trigun,26,8.32,283069,4,18
Neon Genesis Evangelion,26,8.32,461946,9,20
Cowboy Bebop,26,8.82,486824,10,17
Basilisk: Kouga Ninpou Chou,24,7.68,98144,8,52
Last Exile,26,7.94,104193,-1,81
Avenger,13,6.02,12286,7,40
Chrno Crusade,24,7.8,140865,-1,2
School Rumble,26,8.06,178553,9,35
Rozen Maiden,12,7.57,128688,10,93
Prince of Tennis,178,8.04,87643,8,99
Naruto,220,7.81,683297,9,64
Monster,74,8.72,247562,-1,98
Full Metal Panic! The Second Raid,13,8.06,155340,-1,73
