个人信息,校园卡编号,消费金额,存储金额,余额,消费次数,消费类型,消费地点,消费时间
181327-男,20181327,4,0,23.21,1250,消费,第二食堂,2019-04-26 18_5
182235-男,20182235,8,0,32.8,355,消费,第三食堂,2019-04-09 17_12
181755-女,20181755,0.4,0,42,884,消费,第二食堂,2019-04-24 11_12
183490-女,20183490,7,0,9.8,848,消费,第四食堂,2019-04-25 12_5
180313-女,2018313,0.5,0,106.1,670,消费,第二食堂,2019-04-24 11_10
184295-男,20184295,8,0,56.4,599,消费,红太阳超市,2019-04-16 12_1
181150-男,20181150,3.5,0,100,604,消费,第二食堂,2019-04-07 17_12
183973-男,20183973,0.6,0,46.1,645,消费,第五食堂,2019-04-11 07_2
180545-女,2018545,1.5,0,49,735,消费,红太阳超市,2019-04-08 16_2
181352-男,20181352,7,0,77.6,665,消费,第四食堂,2019-04-20 12_4
184332-男,20184332,1,0,29.9,797,消费,第五食堂,2019-04-25 11_5
180783-女,2018783,0.4,0,192.1,603,消费,第二食堂,2019-04-18 11_10
181126-男,20181126,4,0,163.3,568,消费,第二食堂,2019-04-04 18_4
180485-女,2018485,6.1,0,87.89,521,消费,第五食堂,2019-04-30 11_10
180682-女,2018682,1.5,0,48.9,771,消费,第二食堂,2019-04-01 11_9
181525-男,20181525,6,0,63.4,496,消费,第一食堂,2019-04-11 19_7
183419-女,20183419,0.7,0,97,718,消费,第一食堂,2019-04-12 12_0
181194-女,20181194,3.4,0,42.1,426,消费,第二食堂,2019-04-20 19_3
180323-女,2018323,7,0,38.1,387,消费,第四食堂,2019-04-09 11_10
181735-女,20181735,1,0,3.36,576,消费,第二食堂,2019-04-15 07_8
183747-女,20183747,5.5,0,71.5,897,消费,第五食堂,2019-04-22 16_8
181266-女,20181266,2.5,0,117.96,718,消费,第一食堂,2019-04-01 07_8
181760-男,20181760,2.7,0,36.2,648,消费,第二食堂,2019-04-19 20_0
182085-女,20182085,3.5,0,34,267,消费,好利来食品店,2019-04-24 07_9
180820-女,2018820,4,0,35.17,865,消费,第二食堂,2019-04-27 11_12
180584-女,2018584,1,0,157.97,684,消费,第二食堂,2019-04-13 07_8
184324-女,20184324,0.6,0,172.4,495,消费,第五食堂,2019-04-02 07_11
181320-女,20181320,3,0,130.3,813,消费,第二食堂,2019-04-26 17_8
181188-女,20181188,1.2,0,30.5,948,消费,第二食堂,2019-04-26 09_8
181948-女,20181948,9,0,12.3,559,消费,第二食堂,2019-04-01 11_10
182534-男,20182534,20,0,97.3,591,消费,第四食堂,2019-04-18 20_4
184142-女,20184142,1,0,48.7,909,消费,第二食堂,2019-04-20 21_8
183908-女,20183908,7.5,0,180.2,517,消费,第二食堂,2019-04-23 16_5
182783-男,20182783,6,0,38.3,399,消费,第五食堂,2019-04-04 17_8
182279-女,20182279,10,0,114.1,765,消费,第五食堂,2019-04-01 18_2
183307-女,20183307,0.5,0,31.5,735,消费,第一食堂,2019-04-22 11_9
180672-女,2018672,0.4,0,81.75,1004,消费,第二食堂,2019-04-26 11_10
183324-女,20183324,0.5,0,71.7,413,消费,第二食堂,2019-04-09 11_8
183400-女,20183400,0,50,54.2,695,存款,财务处,2019-04-23 11_10
180590-女,2018590,4,0,90.7,532,消费,第一食堂,2019-04-05 11_11
182676-女,20182676,1.5,0,73.6,545,消费,第一食堂,2019-04-18 07_8
182622-女,20182622,1.5,0,124.3,1020,消费,第五食堂,2019-04-09 07_4
180332-女,2018332,0.4,0,100.64,744,消费,第五食堂,2019-04-17 12_4
182847-男,20182847,11,0,48.1,441,消费,好利来食品店,2019-04-07 12_11
180430-男,2018430,0.6,0,18.3,150,消费,第二食堂,2019-04-13 12_9
181990-男,20181990,4.5,0,85.24,561,消费,第一食堂,2019-04-14 21_1
183310-女,20183310,0.5,0,19.4,820,消费,第一食堂,2019-04-04 11_8
180178-女,2018178,0,50,50,334,存款,财务处,2019-04-10 09_11
184215-女,20184215,0.6,0,23.3,774,消费,第五食堂,2019-04-22 07_9
183019-男,20183019,8,0,114.5,355,消费,第四食堂,2019-04-04 11_11
183414-女,20183414,9,0,86.5,427,消费,第四食堂,2019-04-04 12_4
181948-女,20181948,0,100,100.1,599,存款,财务处,2019-04-15 11_9
182951-男,20182951,3,0,48.5,416,消费,好利来食品店,2019-04-11 07_8
180092-女,201892,7.5,0,42.9,616,消费,第三食堂,2019-04-20 12_9
182478-女,20182478,1.5,0,33.95,820,消费,好利来食品店,2019-04-24 16_8
180800-女,2018800,3,0,48.3,826,消费,第二食堂,2019-04-16 13_4
181611-男,20181611,3.5,0,22.8,681,消费,第二食堂,2019-04-30 11_12
183329-男,20183329,4,0,41.7,1055,消费,第一食堂,2019-04-25 11_9
182206-女,20182206,3.5,0,58.3,687,消费,好利来食品店,2019-04-12 07_6
180443-男,2018443,1.5,0,28.4,536,消费,第五食堂,2019-04-04 07_7
182206-女,20182206,2.5,0,92.1,676,消费,好利来食品店,2019-04-09 18_5
181503-男,20181503,0,200,200.5,432,存款,财务处,2019-04-03 11_2
181404-男,20181404,7,0,61.98,895,消费,第四食堂,2019-04-30 12_4
180398-女,2018398,5.1,0,51.7,694,消费,第五食堂,2019-04-16 08_11
182861-男,20182861,6,0,58.8,721,消费,第五食堂,2019-04-25 18_2
183854-女,20183854,8,0,37.2,658,消费,第一食堂,2019-04-18 18_10
183087-男,20183087,9.5,0,29.1,478,消费,好利来食品店,2019-04-04 19_8
181982-男,20181982,0,100,101.3,746,存款,财务处,2019-04-08 09_0
181346-男,20181346,7,0,69.8,755,消费,第四食堂,2019-04-02 11_8
181626-男,20181626,1.2,0,53.9,346,消费,第二食堂,2019-04-04 22_1
183969-男,20183969,10,0,90.9,421,消费,第四食堂,2019-04-16 12_4
181803-男,20181803,3.5,0,59.75,701,消费,第一食堂,2019-04-15 09_7
182521-女,20182521,8.2,0,70.8,514,消费,好利来食品店,2019-04-14 12_1
181631-男,20181631,7,0,142.4,676,消费,第四食堂,2019-04-09 17_11
183837-女,20183837,3.5,0,31,349,消费,第三食堂,2019-04-09 11_9
181948-女,20181948,7,0,93.1,600,消费,第四食堂,2019-04-15 11_10
182320-女,20182320,3,0,174,732,消费,第一食堂,2019-04-30 19_4
183426-女,20183426,1.5,0,30.1,586,消费,第一食堂,2019-04-12 16_5
180287-女,2018287,6,0,52,1066,消费,第四食堂,2019-04-25 16_10
183737-女,20183737,4.1,0,74.2,732,消费,第五食堂,2019-04-13 11_6
181984-男,20181984,7,0,96.4,596,消费,第四食堂,2019-04-20 12_2
183850-女,20183850,3.1,0,41.2,678,消费,第五食堂,2019-04-22 17_0
181552-男,20181552,3,0,15.3,1009,消费,第二食堂,2019-04-29 11_7
180921-男,2018921,4.5,0,14.43,563,消费,第一食堂,2019-04-16 11_10
180241-女,2018241,0.6,0,61.1,663,消费,第五食堂,2019-04-09 07_7
181831-男,20181831,3.5,0,92,710,消费,红太阳超市,2019-04-22 22_1
181896-男,20181896,0,150,151.7,820,存款,财务处,2019-04-09 17_3
183716-女,20183716,8,0,71.8,629,消费,第三食堂,2019-04-16 12_0
182622-女,20182622,0.4,0,214.2,1070,消费,第五食堂,2019-04-17 16_7
180617-女,2018617,7,0,16.5,674,消费,第四食堂,2019-04-23 18_2
180025-女,201825,7,0,38.2,701,消费,第四食堂,2019-04-09 11_12
180453-女,2018453,7,0,4.01,581,消费,第四食堂,2019-04-25 11_12
182622-女,20182622,0.4,0,77.7,1039,消费,第五食堂,2019-04-12 11_11
182564-女,20182564,1.5,0,15.4,468,消费,第一食堂,2019-04-12 07_5
180027-女,201827,8,0,211.4,761,消费,第四食堂,2019-04-08 18_3
182557-女,20182557,6,0,168.3,440,消费,第五食堂,2019-04-08 18_3
182418-男,20182418,5,0,27.4,532,消费,第二食堂,2019-04-27 11_11
181063-男,20181063,3.5,0,114.7,1044,消费,第一食堂,2019-04-10 07_8
181339-男,20181339,2.5,0,49.2,747,消费,第一食堂,2019-04-04 17_9
180053-女,201853,8,0,29.9,492,消费,第四食堂,2019-04-09 11_11
181776-男,20181776,2.5,0,198.4,724,消费,第一食堂,2019-04-24 11_9
183276-男,20183276,1,0,197,710,消费,第一食堂,2019-04-23 11_5
180694-女,2018694,2,0,21.66,751,消费,第二食堂,2019-04-12 09_9
181735-女,20181735,0.5,0,71.86,554,消费,第二食堂,2019-04-09 11_10
183297-女,20183297,4,0,86.5,654,消费,第四食堂,2019-04-12 16_4
182346-女,20182346,8,0,51.8,723,消费,第三食堂,2019-04-05 18_0
182444-女,20182444,7.5,0,16.44,488,消费,好利来食品店,2019-04-29 19_11
184030-女,20184030,7,0,31.06,760,消费,第四食堂,2019-04-23 11_12
182796-男,20182796,3.5,0,50.6,471,消费,好利来食品店,2019-04-11 13_12
183652-女,20183652,5.5,0,80.3,565,消费,第三食堂,2019-04-16 11_11
180255-女,2018255,5.5,0,139.3,809,消费,第五食堂,2019-04-09 16_5
181172-女,20181172,1.5,0,30.2,895,消费,第二食堂,2019-04-22 11_11
181865-女,20181865,5,0,64.7,702,消费,第四食堂,2019-04-09 12_2
180485-女,2018485,2,0,58.79,528,消费,第一食堂,2019-04-10 16_2
181275-女,20181275,0.5,0,67.5,966,消费,第二食堂,2019-04-27 11_1
181338-男,20181338,0.6,0,50.5,990,消费,第二食堂,2019-04-26 11_12
183367-女,20183367,0,250,276.8,475,存款,财务处,2019-04-03 16_6
183123-男,20183123,0.6,0,157.6,539,消费,第五食堂,2019-04-19 11_11
181475-女,20181475,0.5,0,46.2,731,消费,第二食堂,2019-04-18 11_11
182231-男,20182231,0.6,0,200.1,480,消费,第五食堂,2019-04-02 11_12
184181-女,20184181,2,0,38.34,578,消费,第五食堂,2019-04-24 07_7
184336-女,20184336,3,0,43.9,582,消费,好利来食品店,2019-04-30 17_2
183742-女,20183742,3,0,35.75,733,消费,第五食堂,2019-04-19 16_7
181372-男,20181372,3,0,102.5,537,消费,第四食堂,2019-04-16 12_9
180218-男,2018218,5.5,0,151.5,764,消费,红太阳超市,2019-04-21 12_0
183701-女,20183701,0.4,0,95.71,467,消费,第五食堂,2019-04-19 11_9
182898-男,20182898,2.1,0,49.5,295,消费,第五食堂,2019-04-14 18_2
180920-男,2018920,6,0,135.2,653,消费,第一食堂,2019-04-02 11_11
184014-女,20184014,0.5,0,58.8,870,消费,第二食堂,2019-04-17 12_5
181512-男,20181512,7,0,98.9,709,消费,第二食堂,2019-04-04 18_5
180061-女,201861,1.5,0,35.8,731,消费,第二食堂,2019-04-25 07_5
182226-男,20182226,4.5,0,0.7,551,消费,好利来食品店,2019-04-02 09_10
181386-男,20181386,1.5,0,39.1,581,消费,第一食堂,2019-04-23 07_8
180854-女,2018854,0.5,0,135.1,674,消费,第二食堂,2019-04-21 18_11
181470-男,20181470,4,0,49.4,904,消费,第二食堂,2019-04-24 11_11
182455-女,20182455,3.5,0,106.4,608,消费,第五食堂,2019-04-04 11_12
183394-女,20183394,2.5,0,60.5,488,消费,第一食堂,2019-04-25 08_7
182317-女,20182317,0.6,0,59.3,458,消费,第五食堂,2019-04-09 07_5
180931-男,2018931,3,0,68.4,712,消费,第一食堂,2019-04-06 12_11
180496-女,2018496,2.5,0,44.3,489,消费,第五食堂,2019-04-16 07_0
180768-女,2018768,1.5,0,29.85,492,消费,第一食堂,2019-04-10 18_0
183579-女,20183579,0.4,0,46.36,899,消费,第二食堂,2019-04-21 17_4
183734-女,20183734,4.5,0,71.4,469,消费,第五食堂,2019-04-02 11_9
181724-女,20181724,1.5,0,42.2,888,消费,第二食堂,2019-04-03 12_5
183236-男,20183236,3.5,0,65.9,490,消费,第二食堂,2019-04-26 07_11
180272-女,2018272,6,0,24.36,565,消费,第一食堂,2019-04-05 12_3
180546-女,2018546,7,0,184.21,690,消费,第四食堂,2019-04-10 17_12
181670-男,20181670,8,0,37.2,547,消费,第四食堂,2019-04-02 17_8
181563-男,20181563,2,0,84.8,936,消费,红太阳超市,2019-04-15 18_9
183142-男,20183142,1.5,0,4.9,736,消费,第一食堂,2019-04-26 07_6
182971-女,20182971,0.4,0,83,530,消费,第五食堂,2019-04-09 12_2
180252-女,2018252,1,0,88.01,618,消费,红太阳超市,2019-04-25 18_1
180793-女,2018793,0.4,0,72.1,689,消费,第二食堂,2019-04-19 17_8
182676-女,20182676,4.5,0,12.3,562,消费,好利来食品店,2019-04-23 07_7
181762-男,20181762,0.6,0,176.04,438,消费,第一食堂,2019-04-29 18_0
182863-男,20182863,9,0,86.4,643,消费,第四食堂,2019-04-04 12_1
180710-男,2018710,9.5,0,89,617,消费,第二食堂,2019-04-23 16_10
181975-男,20181975,7,0,116.3,828,消费,第四食堂,2019-04-01 17_9
183414-女,20183414,0,100,186.5,428,存款,财务处,2019-04-02 12_1
183146-男,20183146,3.5,0,20.2,632,消费,第四食堂,2019-04-13 13_4
182918-男,20182918,4.5,0,145.7,510,消费,第五食堂,2019-04-09 17_9
180320-女,2018320,5,0,37.3,433,消费,第四食堂,2019-04-25 11_10
182942-男,20182942,0.5,0,16.7,491,消费,第五食堂,2019-04-01 11_10
181099-男,20181099,1.2,0,67.2,1136,消费,第二食堂,2019-04-24 07_7
181397-男,20181397,2.3,0,68.3,779,消费,第二食堂,2019-04-01 09_10
181488-男,20181488,0.6,0,92,749,消费,第二食堂,2019-04-12 08_0
181587-女,20181587,0.4,0,55.99,611,消费,第一食堂,2019-04-21 11_8
181133-男,20181133,1.2,0,85.2,1166,消费,第二食堂,2019-04-25 09_7
180752-男,2018752,1.2,0,84.13,585,消费,第二食堂,2019-04-09 07_10
182089-女,20182089,6,0,76.29,483,消费,第五食堂,2019-04-23 07_12
184151-女,20184151,7,0,76.4,548,消费,第三食堂,2019-04-24 16_6
182703-女,20182703,2.5,0,70.2,543,消费,第三食堂,2019-04-04 07_6
183389-女,20183389,1.2,0,69.3,520,消费,第二食堂,2019-04-09 07_6
184308-男,20184308,0.4,0,98.2,707,消费,第五食堂,2019-04-16 16_6
183404-女,20183404,6,0,169.1,304,消费,第五食堂,2019-04-09 07_11
182058-女,20182058,1.8,0,24.4,596,消费,第二食堂,2019-04-15 07_10
184003-男,20184003,0.6,0,45.1,183,消费,第二食堂,2019-04-08 11_12
182303-女,20182303,0.4,0,28.4,592,消费,第二食堂,2019-04-15 17_2
180351-女,2018351,6.1,0,68.8,663,消费,第五食堂,2019-04-12 12_3
184021-女,20184021,0.5,0,83.2,707,消费,第一食堂,2019-04-16 16_7
180586-女,2018586,0.5,0,21.3,515,消费,第一食堂,2019-04-06 17_6
183352-男,20183352,8,0,104.1,663,消费,第二食堂,2019-04-12 18_1
181396-男,20181396,0.8,0,147.7,725,消费,第二食堂,2019-04-09 10_4
180727-女,2018727,1.5,0,60,803,消费,红太阳超市,2019-04-25 18_3
181521-男,20181521,0.6,0,42.6,774,消费,第二食堂,2019-04-25 12_5
183968-男,20183968,0.2,0,15.8,714,消费,水电缴费处,2019-04-18 14_12
180744-女,2018744,1,0,136,703,消费,第一食堂,2019-04-23 11_2
184311-女,20184311,8,0,40.1,384,消费,好利来食品店,2019-04-07 19_6
183865-女,20183865,5,0,60.1,764,消费,第三食堂,2019-04-12 11_9
182034-男,20182034,0.5,0,74.6,368,消费,第三食堂,2019-04-04 18_7
180527-男,2018527,0.5,0,93.56,750,消费,第一食堂,2019-04-08 16_2
182357-女,20182357,8.5,0,36.6,544,消费,好利来食品店,2019-04-01 18_2
181541-男,20181541,4,0,42.2,984,消费,第二食堂,2019-04-12 07_10
181834-男,20181834,2.5,0,34.98,653,消费,第四食堂,2019-04-04 12_7
183052-男,20183052,1.5,0,171.4,750,消费,第五食堂,2019-04-23 07_6
182961-男,20182961,0,100,104.5,565,存款,财务处,2019-04-03 12_5
182394-女,20182394,0,100,102.6,711,存款,财务处,2019-04-15 11_11
182393-女,20182393,1.5,0,68,715,消费,第五食堂,2019-04-13 07_2
183277-男,20183277,5,0,63.6,548,消费,第一食堂,2019-04-11 07_7
182647-女,20182647,1,0,64,752,消费,第五食堂,2019-04-18 07_4
180077-男,201877,6,0,113.5,785,消费,第五食堂,2019-04-17 11_4
181418-男,20181418,3,0,96.1,883,消费,第二食堂,2019-04-10 09_9
182283-女,20182283,3.5,0,47.7,742,消费,好利来食品店,2019-04-25 13_5
181028-女,20181028,2,0,20.26,475,消费,第二食堂,2019-04-11 09_6
181521-男,20181521,4,0,175.3,696,消费,第二食堂,2019-04-29 11_0
181133-男,20181133,5,0,89.4,1072,消费,第二食堂,2019-04-30 18_1
181035-女,20181035,1.5,0,11.2,683,消费,第一食堂,2019-04-01 11_12
181263-女,20181263,0.6,0,93.1,192,消费,第二食堂,2019-04-11 07_5
183220-男,20183220,1.5,0,70.75,1169,消费,第二食堂,2019-04-22 17_11
180224-男,2018224,9,0,52.3,323,消费,第三食堂,2019-04-06 18_10
183041-男,20183041,6,0,87.8,747,消费,第五食堂,2019-04-19 18_7
181325-男,20181325,3.5,0,83.52,818,消费,第二食堂,2019-04-29 11_8
182455-女,20182455,10,0,125,654,消费,第五食堂,2019-04-16 18_6
183787-女,20183787,6.1,0,74.5,755,消费,第五食堂,2019-04-14 11_3
180794-女,2018794,0.5,0,88.8,790,消费,第一食堂,2019-04-08 16_1
181667-男,20181667,7,0,94.4,710,消费,第四食堂,2019-04-09 11_6
183034-男,20183034,2.5,0,26.2,299,消费,第五食堂,2019-04-25 11_11
184117-男,20184117,0,100,107.1,450,存款,财务处,2019-04-09 11_12
183418-女,20183418,2,0,198.7,503,消费,第二食堂,2019-04-18 07_8
182270-女,20182270,0.4,0,101.69,934,消费,第五食堂,2019-04-22 11_7
184297-男,20184297,0.6,0,90.2,572,消费,第三食堂,2019-04-26 18_2
180501-女,2018501,2,0,65.7,608,消费,第二食堂,2019-04-11 09_11
182850-男,20182850,1.5,0,78.24,1085,消费,第二食堂,2019-04-30 18_3
181568-男,20181568,3,0,110.95,947,消费,红太阳超市,2019-04-15 12_5
181637-男,20181637,4,0,40.3,651,消费,红太阳超市,2019-04-15 20_11
181111-男,20181111,3,0,62.6,600,消费,第二食堂,2019-04-19 09_1
180461-女,2018461,6.1,0,15.6,266,消费,第五食堂,2019-04-12 12_0
181800-男,20181800,0.7,0,93.1,577,消费,第一食堂,2019-04-05 11_10
181025-女,20181025,4,0,142.6,788,消费,第二食堂,2019-04-25 17_12
180295-女,2018295,0.6,0,74.4,657,消费,第五食堂,2019-04-22 07_6
182412-男,20182412,4,0,39.2,610,消费,第一食堂,2019-04-03 08_10
181913-男,20181913,7,0,71.8,482,消费,第四食堂,2019-04-04 18_3
181102-男,20181102,0.6,0,69.2,931,消费,第二食堂,2019-04-04 11_11
182271-女,20182271,6,0,41.4,732,消费,第五食堂,2019-04-22 11_9
181413-男,20181413,0,100,100.5,638,存款,财务处,2019-04-08 09_8
180328-女,2018328,0,100,125.8,534,存款,财务处,2019-04-13 17_9
182469-女,20182469,7,0,96,639,消费,第四食堂,2019-04-23 12_0
181563-男,20181563,1.5,0,2.7,971,消费,第二食堂,2019-04-20 08_0
182359-女,20182359,0.5,0,38.11,537,消费,第三食堂,2019-04-16 17_1
183240-女,20183240,8,0,64,243,消费,第四食堂,2019-04-04 16_4
184192-女,20184192,4,0,23.1,631,消费,第二食堂,2019-04-08 11_10
181458-男,20181458,1,0,83.9,556,消费,第二食堂,2019-04-24 09_6
181192-女,20181192,9,0,169.7,508,消费,第三食堂,2019-04-04 12_0
181445-男,20181445,3.5,0,142.4,486,消费,第一食堂,2019-04-02 07_5
181156-男,20181156,3,0,79.3,837,消费,第二食堂,2019-04-27 17_11
182385-女,20182385,2,0,77.1,501,消费,第二食堂,2019-04-25 17_12
182298-女,20182298,1,0,9.5,524,消费,第一食堂,2019-04-30 11_3
183352-男,20183352,8,0,191.3,688,消费,红太阳超市,2019-04-17 17_7
180106-女,2018106,3.5,0,28.7,828,消费,第五食堂,2019-04-23 17_8
181411-男,20181411,4,0,94.8,948,消费,第二食堂,2019-04-02 17_2
182701-女,20182701,2.9,0,38.1,650,消费,第五食堂,2019-04-19 09_5
181762-男,20181762,0,200,201.84,429,存款,财务处,2019-04-02 11_5
183609-女,20183609,0.5,0,90.16,487,消费,第一食堂,2019-04-15 11_11
182272-女,20182272,7,0,134.33,492,消费,第四食堂,2019-04-23 17_8
181316-女,20181316,2.5,0,75.5,766,消费,第二食堂,2019-04-30 11_6
180590-女,2018590,2.5,0,7.2,595,消费,第一食堂,2019-04-25 11_11
181934-女,20181934,1.5,0,40.21,344,消费,第二食堂,2019-04-12 07_7
180778-女,2018778,0.6,0,111.4,825,消费,第一食堂,2019-04-22 11_10
183978-男,20183978,3.5,0,75.8,638,消费,第五食堂,2019-04-10 18_1
180792-女,2018792,1.7,0,1.7,842,消费,第二食堂,2019-04-15 07_10
180410-女,2018410,9,0,18,675,消费,第四食堂,2019-04-11 11_11
180142-女,2018142,5,0,10.1,585,消费,第四食堂,2019-04-29 11_9
182695-女,20182695,1.7,0,100.2,608,消费,第一食堂,2019-04-06 12_7
183334-男,20183334,2.4,0,4.8,950,消费,第二食堂,2019-04-25 07_7
181635-男,20181635,1.5,0,22.4,563,消费,第一食堂,2019-04-23 07_9
180557-女,2018557,0.5,0,92.15,732,消费,第一食堂,2019-04-24 17_10
181883-男,20181883,0.6,0,76.3,835,消费,第二食堂,2019-04-22 11_10
183569-女,20183569,7.5,0,13.3,554,消费,第二食堂,2019-04-18 17_9
182665-女,20182665,1.5,0,118.3,572,消费,好利来食品店,2019-04-25 07_7
183441-男,20183441,0.5,0,70,553,消费,第二食堂,2019-04-09 07_8
181723-女,20181723,0.8,0,38.2,581,消费,第一图书馆,2019-04-12 10_3
181133-男,20181133,3.5,0,193.3,1108,消费,第二食堂,2019-04-12 17_10
183675-女,20183675,3,0,93.8,555,消费,第五食堂,2019-04-22 17_4
183450-男,20183450,0.6,0,8.7,965,消费,第二食堂,2019-04-20 06_11
181521-男,20181521,3,0,39.2,679,消费,红太阳超市,2019-04-05 18_11
180212-男,2018212,8.5,0,65,159,消费,第五食堂,2019-04-18 11_11
182172-女,20182172,4.1,0,51.25,473,消费,第五食堂,2019-04-09 08_3
183707-女,20183707,4.5,0,14.8,443,消费,第五食堂,2019-04-01 11_10
181990-男,20181990,6,0,58.64,539,消费,第一食堂,2019-04-09 07_9
180841-女,2018841,6,0,21.1,623,消费,第四食堂,2019-04-20 18_5
182867-男,20182867,2.6,0,94.29,887,消费,第五食堂,2019-04-25 07_6
181531-男,20181531,9,0,59.6,796,消费,第四食堂,2019-04-23 18_1
181620-男,20181620,8,0,41.15,527,消费,第四食堂,2019-04-23 19_3
183252-女,20183252,3,0,14.7,498,消费,第一食堂,2019-04-05 08_6
181479-女,20181479,1.5,0,44,757,消费,第一食堂,2019-04-07 21_3
183276-男,20183276,0.5,0,93.9,619,消费,第二食堂,2019-04-09 21_2
184100-男,20184100,6,0,263.4,763,消费,第四食堂,2019-04-19 18_12
184192-女,20184192,4,0,0.1,671,消费,第一食堂,2019-04-15 11_11
182604-男,20182604,4,0,56.92,1122,消费,第二食堂,2019-04-24 17_8
182850-男,20182850,0.8,0,101.94,1125,消费,第二食堂,2019-04-14 12_2
183349-男,20183349,0.6,0,43.8,866,消费,第一食堂,2019-04-02 11_4
183932-女,20183932,2.1,0,19.1,352,消费,第五食堂,2019-04-17 07_6
184137-女,20184137,5,0,17.6,235,消费,好利来食品店,2019-04-01 07_11
183739-女,20183739,4.5,0,138.7,602,消费,第五食堂,2019-04-12 11_9
183123-男,20183123,6,0,66.4,499,消费,第五食堂,2019-04-04 11_10
181490-男,20181490,3.5,0,215,1115,消费,第二食堂,2019-04-29 11_8
183614-男,20183614,0.6,0,113.1,670,消费,第三食堂,2019-04-29 11_9
183852-女,20183852,0.4,0,90,585,消费,第五食堂,2019-04-09 16_3
183445-男,20183445,7,0,96.9,801,消费,第四食堂,2019-04-17 16_3
181755-女,20181755,8,0,155.7,838,消费,第四食堂,2019-04-11 16_10
181473-女,20181473,3,0,40.46,813,消费,红太阳超市,2019-04-19 13_2
181869-女,20181869,0.6,0,99.3,494,消费,第二食堂,2019-04-01 07_7
180162-女,2018162,3,0,112.9,595,消费,好利来食品店,2019-04-22 09_8
182740-男,20182740,3.5,0,102.8,790,消费,第五食堂,2019-04-24 12_1
181817-男,20181817,2,0,0.4,677,消费,第一食堂,2019-04-17 07_8
180396-女,2018396,7,0,42.4,672,消费,第一食堂,2019-04-14 19_5
181063-男,20181063,4.5,0,88.4,1031,消费,第一食堂,2019-04-08 08_11
181539-男,20181539,6,0,478.2,573,消费,第二食堂,2019-04-26 06_11
181896-男,20181896,3,0,8.4,815,消费,第一食堂,2019-04-09 07_7
184317-男,20184317,2.5,0,313.9,111,消费,第一食堂,2019-04-10 08_12
181675-男,20181675,1,0,79.4,584,消费,第二食堂,2019-04-26 07_9
181204-女,20181204,3,0,94.16,744,消费,第二食堂,2019-04-10 18_1
182490-女,20182490,9,0,25.98,457,消费,第三食堂,2019-04-06 17_6
181257-女,20181257,3,0,37.4,663,消费,红太阳超市,2019-04-22 07_7
181352-男,20181352,9,0,49.4,650,消费,第二食堂,2019-04-08 11_8
181102-男,20181102,0.6,0,69.8,930,消费,第一食堂,2019-04-04 07_9
183712-女,20183712,0.5,0,15.4,326,消费,第五食堂,2019-04-11 12_0
181504-男,20181504,3,0,188.9,821,消费,第一食堂,2019-04-08 12_6
182238-男,20182238,0.5,0,359.2,799,消费,第三食堂,2019-04-21 17_2
181362-男,20181362,9,0,29.5,539,消费,第四食堂,2019-04-25 11_8
182573-女,20182573,1.5,0,45.4,577,消费,第五食堂,2019-04-26 07_8
182751-男,20182751,2.6,0,11.6,734,消费,第五食堂,2019-04-24 07_4
182810-女,20182810,0.4,0,142.6,656,消费,第五食堂,2019-04-19 11_7
180714-女,2018714,4,0,71.6,1152,消费,第一食堂,2019-04-23 12_7
183851-女,20183851,3,0,56.6,682,消费,第五食堂,2019-04-22 17_0
184203-女,20184203,2.1,0,5.9,321,消费,第五食堂,2019-04-20 10_4
182514-女,20182514,9,0,5.4,310,消费,第三食堂,2019-04-18 12_0
183434-男,20183434,0,100,100.6,671,存款,财务处,2019-04-08 16_9
180934-男,2018934,10,0,87.28,539,消费,第四食堂,2019-04-09 16_7
182965-女,20182965,3.5,0,102,480,消费,第五食堂,2019-04-15 18_10
182739-男,20182739,9.5,0,59.3,556,消费,第五食堂,2019-04-24 19_5
182138-女,20182138,1,0,40.9,707,消费,第五食堂,2019-04-03 07_3
182002-男,20182002,0.5,0,49.41,693,消费,第一食堂,2019-04-05 11_11
181255-女,20181255,7,0,68.2,684,消费,第四食堂,2019-04-01 12_1
180115-女,2018115,3,0,10.1,367,消费,第二食堂,2019-04-20 11_10
183386-女,20183386,1.6,0,139.3,402,消费,第二食堂,2019-04-20 10_0
182884-女,20182884,7.4,0,23.8,739,消费,好利来食品店,2019-04-16 12_0
183116-男,20183116,8,0,164.5,850,消费,第三食堂,2019-04-11 12_1
182124-女,20182124,0,100,132,917,存款,财务处,2019-04-03 18_0
181282-女,20181282,4,0,62.7,723,消费,第一食堂,2019-04-06 13_2
184247-女,20184247,10,0,60.3,468,消费,第三食堂,2019-04-19 12_8
182462-女,20182462,9,0,125,380,消费,第四食堂,2019-04-22 11_10
180244-女,2018244,0.5,0,43,620,消费,第三食堂,2019-04-03 18_0
180055-女,201855,3.5,0,24.5,723,消费,第五食堂,2019-04-26 11_4
183772-男,20183772,8,0,26.7,707,消费,第三食堂,2019-04-25 17_8
181561-男,20181561,7,0,49.5,954,消费,第四食堂,2019-04-29 12_1
180399-女,2018399,0.5,0,32,723,消费,第三食堂,2019-04-17 12_1
180569-女,2018569,2.6,0,18.6,616,消费,第一食堂,2019-04-23 07_7
182195-女,20182195,3,0,111.2,438,消费,第一食堂,2019-04-23 07_10
